
# cat /proc/irq_diag_irq_diag_stat

Irq No. - 116, IRQ count - 0, IRQ rate - 0
Irq No. - 117, IRQ count - 0, IRQ rate - 0
Irq No. - 118, IRQ count - 0, IRQ rate - 0
Irq No. - 119, IRQ count - 0, IRQ rate - 0
Irq No. - 120, IRQ count - 0, IRQ rate - 0
Irq No. - 121, IRQ count - 0, IRQ rate - 0
Irq No. - 122, IRQ count - 0, IRQ rate - 0
Irq No. - 123, IRQ count - 0, IRQ rate - 0
Irq No. - 124, IRQ count - 0, IRQ rate - 0
Irq No. - 125, IRQ count - 0, IRQ rate - 0
Irq No. - 126, IRQ count - 0, IRQ rate - 0
Irq No. - 127, IRQ count - 0, IRQ rate - 0
Irq No. - 128, IRQ count - 0, IRQ rate - 0
Irq No. - 129, IRQ count - 0, IRQ rate - 0
Irq No. - 130, IRQ count - 0, IRQ rate - 0
Irq No. - 131, IRQ count - 0, IRQ rate - 0
Irq No. - 132, IRQ count - 0, IRQ rate - 0
Irq No. - 133, IRQ count - 0, IRQ rate - 0



# Print on console: -
-----------------------

[  155.216899] SHOW_DELTA(): *invalid* earlier > later? (check order of params)
[  155.224170] For Irq# - 1, IRQ rate - -60201 per 500 ms
[  155.229376] For Irq# - 2, IRQ rate - 14885 per 500 ms
[  155.234549] For Irq# - 3, IRQ rate - 0 per 500 ms
[  155.239302] For Irq# - 4, IRQ rate - 0 per 500 ms
[  155.244077] For Irq# - 5, IRQ rate - 0 per 500 ms
[  155.248811] For Irq# - 6, IRQ rate - 2 per 500 ms
[  155.253555] For Irq# - 7, IRQ rate - 0 per 500 ms
[  155.258283] For Irq# - 8, IRQ rate - 0 per 500 ms
[  155.263027] For Irq# - 9, IRQ rate - 0 per 500 ms
[  155.267751] For Irq# - 10, IRQ rate - 0 per 500 ms
[  155.272582] For Irq# - 11, IRQ rate - 36674 per 500 ms
[  155.277741] For Irq# - 12, IRQ rate - 0 per 500 ms
[  155.282566] For Irq# - 13, IRQ rate - 0 per 500 ms
[  155.287379] For Irq# - 14, IRQ rate - 0 per 500 ms
[  155.292207] For Irq# - 15, IRQ rate - 0 per 500 ms
[  155.297032] For Irq# - 16, IRQ rate - 0 per 500 ms
[  155.301871] For Irq# - 17, IRQ rate - 0 per 500 ms
